"Sequence No." "V" "D" "air density" "Humidity" "I" "S_a" "S_b" "y (% relative to rated power)"
"65" 13.41597 202.85 1.23033384501184 80.626013 0.0867588403969299 0.175999640101016 0.0905769907062088 99.14
"66" 14.00679 201.4156 1.22962272548957 78.401523 0.0494163687754296 0.181292655626622 0.115126226352255 99.6066666666667
"67" 14.57949 203.8514 1.22946728550738 78.714148 0.067235458853499 0.150239691954529 0.084214999923877 98.8466666666667
"68" 13.74885 205.7654 1.22945195918831 78.581042 0.0627725664328289 0.105375235440124 0.0827388761336762 99.5266666666667
"69" 14.24545 205.563 1.22959812703427 78.177962 0.0546381897377759 0.0953246157543408 0.107388071022857 95.8333333333333
"70" 12.87966 208.0012 1.22941289225472 79.250734 0.0755547506688841 0.127414143652608 0.121344856669331 87.0466666666667
"71" 11.97292 206.9648 1.23004245419115 80.443913 0.0541072687364486 0.143239377144876 0.0996979832221424 77.4166666666667
"72" 11.80504 198.9755 1.22977169029447 80.85116 0.0475795677100628 0.156592919485245 0.108792080818133 79.7333333333333
"73" 11.85402 195.2979 1.23010603274484 80.271728 0.0483950170490686 0.16182020235993 0.114292520925054 72.0366666666667
"74" 11.18949 197.4942 1.23014842004228 81.851327 0.0471168391052675 0.19510528939278 0.109072994528478 63.68
"75" 10.38488 200.1369 1.23015259521764 82.702719 0.0439703877175278 0.21343916314371 0.139632380833464 57.5566666666667
"76" 10.17964 205.2214 1.23006284703279 83.097273 0.0490841915824135 0.20804556863822 0.173890511847237 56.2833333333333
"77" 10.1086 204.1007 1.22933202014602 81.958048 0.0504777318323012 0.288021295002945 0.158441457971251 59.6133333333333
"78" 10.59407 200.8343 1.22846682124216 80.124739 0.0424954526447343 0.347948977447943 0.197935598462984 60.7866666666667
"79" 10.23433 197.7035 1.22736286752468 78.283297 0.0365735910411331 0.331373436920079 0.17807524062691 49.9466666666667
"80" 9.4694 199.3735 1.22704809651209 78.15852 0.0382796164487718 0.364742106295975 0.208863818871216 43.3266666666667
"81" 9.302818 197.0309 1.22658303628584 77.685219 0.0336308202525299 0.455735815211319 0.25249066393298 44.18
"82" 9.54034 194.9614 1.22556860708323 75.55416 0.0383923528930835 0.429160251400236 0.297916469250349 53.68
"83" 10.06977 189.51 1.22455203804298 73.198745 0.0570526536355845 0.292697415176978 0.264849331535359 43.1066666666667
"84" 9.153992 180.6182 1.22532441859292 76.869532 0.0562254041733923 0.35357049783911 0.279352425003187 47.7366666666667
"85" 9.734317 184.2639 1.22390212844881 73.612738 0.0441802028842907 0.330558509986074 0.25203330443462 47.51
"86" 9.327646 190.7674 1.2236902639418 72.675849 0.0615126796192737 0.419831257662957 0.22323026944714 42.02
"87" 9.44409 192.3806 1.22283142837659 70.242479 0.0384152628786892 0.336100632696856 0.200621107410033 52.35
"88" 10.56487 190.0159 1.22008000530136 60.771035 0.0179278306311389 0.151329889873245 0.236455604900081 59.7066666666667
"89" 10.85057 189.3679 1.22020740222107 61.808298 0.0437133993882349 0.131870842147781 0.277640464164371 64.93
"90" 10.70179 189.4155 1.21854254408033 60.493916 0.0315301178587881 0.0813712888870389 0.230781563362318 59.4133333333333
"91" 10.42908 189.8465 1.21802487012847 59.908534 0.012745822258531 0.146356488487112 0.224254095274729 54.0966666666667
"92" 9.490635 188.7488 1.21890566581829 62.373645 0.0612082120953972 0.342438922061373 0.263513385760684 34.2766666666667
"93" 8.431191 188.35 1.21999447004453 65.39934 0.0400572469536036 0.377555955608882 0.325748473564473 32.97
"94" 8.590347 190.3593 1.21953414886519 64.492009 0.0297314415820455 0.380061840761457 0.336096492884606 35.29
"95" 8.894945 185.9805 1.21790493059885 63.177826 0.0366949430266292 0.346465852880803 0.275465812884554 48.4066666666667
"96" 9.798152 188.6125 1.21615493996865 60.034299 0.027832779079157 0.343123187583086 0.296645566917698 40.5366666666667
"97" 9.032223 184.5366 1.21667816950149 61.752954 0.0613218030599997 0.462640984415291 0.422502787678232 38.37
"98" 9.112514 179.8648 1.21719638229192 62.962993 0.0817850156389335 0.458773176235736 0.314972065418488 49.7
"99" 10.12306 177.9682 1.21597952086688 60.345737 0.0522225196729052 0.469013086402929 0.332645286747478 56.0433333333333
"100" 10.1674 177.2568 1.21557609041995 58.360079 0.0373106202175581 0.40416647261061 0.369510090776188 58.6566666666667
"101" 11.13466 163.4733 1.21545062911508 60.771035 0.055753134806092 0.127501518747117 0.316121506357795 78.81
"102" 12.55095 159.8125 1.21312875972801 57.964734 0.0321930292129281 0.0430560407241639 0.246349953861174 88.5766666666667
"103" 12.87153 157.6909 1.21238687522099 56.464482 0.0239845535068481 0.0916918481890886 0.209313609118506 87.0966666666667
"104" 12.3606 155.2742 1.21323638909737 56.714821 0.0249139281264663 0.111966139991425 0.230258824938384 81.65
"105" 11.59536 152.9989 1.21312994331248 56.838205 0.0721974824412524 0.107872237242333 0.225420317752491 68.52
"106" 11.16213 151.2844 1.21341916767811 57.218277 0.0400769387204772 0.0941541631370106 0.30358470689778 74.1533333333333
"107" 11.16885 152.0844 1.21356002363947 57.517812 0.0362972642662405 0.0954067381398118 0.244299868162676 71.6266666666667
"108" 11.02269 150.8522 1.21462984635045 58.619346 0.0331435339286508 0.0804774889064083 0.240258624586027 75.4666666666667
"109" 11.34358 150.1212 1.21484125745459 58.525121 0.0338015688168991 0.09203147377953 0.228671187721366 72.2933333333333
"110" 11.31392 148.7296 1.21528776246137 58.344012 0.0365174758174002 0.0478850194817744 0.254282322999707 79.45
"111" 11.42618 149.514 1.21597083856543 58.120452 0.0300488177151069 0.155616518821115 0.24414380425823 71.6233333333333
"112" 10.90765 150.1552 1.21683193325561 57.717369 0.0385329195564581 0.226300579159915 0.260701491613143 78.2366666666667
"113" 11.39482 150.8847 1.21651297828826 57.693368 0.0344660029732808 0.221597148910534 0.279320259446777 78.5833333333333
"114" 12.0711 147.2924 1.21747032576735 57.850673 0.0735308961072313 0.136608954605375 0.266592619439417 66.5233333333333
"115" 10.12126 144.1459 1.21700068740663 58.060346 0.0925717944208527 0.149639746036862 0.106264778711541 65.3733333333333
"116" 11.6975 149.5977 1.21845952592836 59.274751 0.0367203761487497 0.252829576325412 0.237202880347008 77.7833333333333
"117" 11.48132 154.5612 1.21912256792868 59.59075 0.0386813101629429 0.262716239264724 0.248431003147851 76.8666666666667
"118" 12.06834 156.4211 1.21890096011165 59.294984 0.0312605544755948 0.257998389530048 0.230131693173956 83.6866666666667
"119" 12.39999 155.9129 1.21753305537519 57.946683 0.0338420111629122 0.193884313981828 0.248005034980635 83.69
"120" 11.89114 154.3068 1.21789480538532 58.902415 0.0386933801132608 0.218760702907077 0.260776655962982 79.52
"121" 11.58283 152.9523 1.21851760342482 59.275147 0.0367635802303927 0.193275755640427 0.242943115657844 75.7333333333333
"122" 11.1502 151.9022 1.21874346714502 58.452121 0.0320846352531793 0.218020412537677 0.268103205015074 73.4433333333333
"123" 10.66473 148.9311 1.21961671946333 58.922451 0.0308125850349704 0.264992089335136 0.290004532247037 58.8333333333333
"124" 9.812427 146.245 1.22111740701515 60.727989 0.087577140701276 0.449814920163141 0.262772552558269 66.7666666666667
"125" 10.91497 147.0206 1.22110014943267 60.537954 0.0598111401130741 0.398042493711778 0.307890463301601 78.8533333333333
"126" 11.77702 148.5017 1.22048348481636 60.409015 0.0389157358992343 0.261040055073612 0.293139243445842 86.07
"127" 11.79721 147.8264 1.22063915255503 60.468724 0.0497435919170719 0.186633643709253 0.251001505504245 66.3766666666667
"128" 9.806412 144.7639 1.22063127304883 60.055128 0.0955554794148971 0.218284890853152 0.147432721527561 56.6366666666667
"129" 9.595771 144.3874 1.2209679958395 59.779595 0.0899588579177223 0.273208679329738 0.120923451958595 59.4433333333333
"130" 9.682046 144.6689 1.22151576410732 60.916041 0.0842150512402027 0.403763539731657 0.129926606083459 70.79
"131" 10.83376 146.1373 1.22186673045422 61.444095 0.0734745277724446 0.477164222029638 0.217848820601621 72.1533333333333
"132" 10.69777 145.9114 1.22152413802714 61.122543 0.0783981427905068 0.505383031388211 0.231931504883635 62.1433333333333
"133" 10.0303 145.4308 1.22055212733157 60.032778 0.0799590241568049 0.58387366892428 0.222166772579437 57.0466666666667
"134" 8.832456 143.3455 1.22048171078031 60.203506 0.108855860702844 0.674353295710996 0.100025051917908 53.0866666666667
